Unnamed: 0,species,species_id,path
66,C2H2OH,OC=[CH]_m2,geoms/OC=_b_CH_d__m2.xyz
67,CH2CO,C=C=O_m1,geoms/C=C=O_m1.xyz
68,HCCO,[CH]=C=O_m2,geoms/_b_CH_d_=C=O_m2.xyz
69,HCCOH,OC#C_m1,geoms/OC_t_C_m1.xyz
70,CH3CO3H,CC(=O)OO_m1,geoms/CC_p_=O_q_OO_m1.xyz
71,CH3CO3,CC(=O)O[O]_m2,geoms/CC_p_=O_q_O_b_O_d__m2.xyz
72,CH3CO2,CC(=O)[O]_m2,geoms/CC_p_=O_q__b_O_d__m2.xyz
73,CH3OCH3,COC_m1,geoms/COC_m1.xyz
74,CH3OCH2,CO[CH2]_m2,geoms/CO_b_CH2_d__m2.xyz
75,CH3OCH2O2H,COCOO_m1,geoms/COCOO_m1.xyz
76,CH3OCH2O2,COCO[O]_m2,geoms/COCO_b_O_d__m2.xyz
77,CH2OCH2O2H,[CH2]OCOO_m2,geoms/_b_CH2_d_OCOO_m2.xyz
78,O2CH2OCH2O2H,OOCOCO[O]_m2,geoms/OOCOCO_b_O_d__m2.xyz
79,HO2CH2OCHO,OOCOC=O_m1,geoms/OOCOC=O_m1.xyz
80,OCH2OCHO,[O]COC=O_m2,geoms/_b_O_d_COC=O_m2.xyz
81,HOCH2OCO,OCO[C]=O_m2,geoms/OCO_b_C_d_=O_m2.xyz
82,CH3OCH2O,COC[O]_m2,geoms/COC_b_O_d__m2.xyz
83,CH3OCHO,COC=O_m1,geoms/COC=O_m1.xyz
84,CH3OCO,CO[C]=O_m2,geoms/CO_b_C_d_=O_m2.xyz
85,CH2OCHO,[CH2]OC=O_m2,geoms/_b_CH2_d_OC=O_m2.xyz
86,C3H8,CCC_m1,geoms/CCC_m1.xyz
87,IC3H7,C[CH]C_m2,geoms/C_b_CH_d_C_m2.xyz
88,NC3H7,CC[CH2]_m2,geoms/CC_b_CH2_d__m2.xyz
89,NC3H7O2H,CCCOO_m1,geoms/CCCOO_m1.xyz
90,NC3H7O2,CCCO[O]_m2,geoms/CCCO_b_O_d__m2.xyz
91,IC3H7O2H,OOC(C)C_m1,geoms/OOC_p_C_q_C_m1.xyz
92,IC3H7O2,[O]OC(C)C_m2,geoms/_b_O_d_OC_p_C_q_C_m2.xyz
93,NC3H7O,CCC[O]_m2,geoms/CCC_b_O_d__m2.xyz
94,IC3H7O,CC([O])C_m2,geoms/CC_p__b_O_d__q_C_m2.xyz
95,C3H6OOH1-2,C[CH]COO_m2,geoms/C_b_CH_d_COO_m2.xyz
96,C3H6OOH1-3,[CH2]CCOO_m2,geoms/_b_CH2_d_CCOO_m2.xyz
97,C3H6OOH2-1,OOC([CH2])C_m2,geoms/OOC_p__b_CH2_d__q_C_m2.xyz
98,C3H6OOH1-2O2,OOCC(O[O])C_m2,geoms/OOCC_p_O_b_O_d__q_C_m2.xyz
99,C3H6OOH1-3O2,OOCCCO[O]_m2,geoms/OOCCCO_b_O_d__m2.xyz
100,C3H6OOH2-1O2,[O]OCC(OO)C_m2,geoms/_b_O_d_OCC_p_OO_q_C_m2.xyz
101,C3KET12,CC(C=O)OO_m1,geoms/CC_p_C=O_q_OO_m1.xyz
102,C3KET13,OOCCC=O_m1,geoms/OOCCC=O_m1.xyz
103,"C3H51-2,3OOH",OOCC(OO)[CH2]_m2,geoms/OOCC_p_OO_q__b_CH2_d__m2.xyz
104,"C3H52-1,3OOH",OOC[CH]COO_m2,geoms/OOC_b_CH_d_COO_m2.xyz
105,C3H5O1-2OOH-3,OOCC1CO1_m1,geoms/OOCC1CO1_m1.xyz
106,C3H5O1-3OOH-2,OOC1COC1_m1,geoms/OOC1COC1_m1.xyz
